频道名,地址,来源,图标
昌邑综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊昌邑.png
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/潍坊昌乐.png
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁兖州.png
曲阜综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁曲阜.png
邹城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁邹城.png
鱼台综合,http://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁鱼台.png
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁鱼台.png
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁嘉祥.png
汶上综合,http://150.138.8.143/00/SNM/CHANNEL00001116/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁汶上.png
梁山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁梁山.png
任城综合,http://150.138.8.143/00/SNM/CHANNEL00001111/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁任城.png
任城生活,http://150.138.8.143/00/SNM/CHANNEL00001112/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/济宁任城.png
