原始名称,标准名称,拟匹配频道
American Crimes,,ANC
America's Boating Channel,,ANN
American Pickers,,Me
AMG TV (1080p),,AMG TV
American Pickers Channel (1080p),,ANN
American Ninja Warrior,,ANN
Amedia 2,,A2
НТК ТВ (1080p) [Not 24/7],,
NBC Sports Boston (1080p) [Not 24/7],,NBC Sports Boston
НТС (Севастополь) (1080p) [Not 24/7],,
NBCU Telemundo Florida,,NBC
NBCU Telemundo North East,,NBC
НТВ,,
NBCU Telemundo West,,NBC
NBCU Telemundo Texas,,NBC
Первый городской (Одесса) (1080p) [Not 24/7],,
о2тв,,20
Открытый мир. Здоровье,,7.TV
Andalucía Televisión (1080p),,Andalucia Television
NCIS,,Canal 2 Telesanfrancisco
ОСН,,
Anadolu Net TV (1080p),,Anadolu Net TV
ОТР,,
Первый информационный (1080p),,
Anger Management,,GEM
Первый Ярославский,,
Россия 1,,10
Первый Республиканский,,
РТР Планета Азия,,
Поехали!,,E!
Россия К,,
РТР Планета Евро,,
РТР Планета СНГ,,
Перец International,,Inter
Nei Monggol TV Culture Entertainment Channel,,Nei Monggol TV Culture Entertainment Channel
Радость моя,,
Anime All Day,,Anime All Day
РТР Планета США,,
С1 (Сургут) (1080p) [Not 24/7],,1000xHora TV
NEW K-POP (1080p),,Pop
Русский Бестселлер,,
Сибирь 24 (Красноярск),,:24
Сибирь 24 (Новосибирск),,:24
Antena 3 (1080p),,Antena 3
Сити Эдем АвтоГид [Not 24/7],,
Сити Эдем Play Христианский Музыкальный [Not 24/7],,Play4
Своё HD,,3HD
Antena TV (1080p),,Antena TV
Север (Нарьян-Мар) (1080p),,
Nei Monggol TV News Channel,,Nei Monggol TV News Channel
