原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
新动漫,新动漫,新动漫,待标准化,济南电信单播,未排序,否
新泰乡村,新泰乡村,新泰乡村,待标准化,济南电信单播,未排序,否
新泰新闻,新泰新闻,新泰新闻,待标准化,济南电信单播,未排序,否
烟台公共,烟台公共,烟台公共,待标准化,济南电信单播,未排序,否
烟台经济,烟台经济,烟台经济,待标准化,济南电信单播,未排序,否
烟台新闻,烟台新闻,烟台新闻,待标准化,济南电信单播,未排序,否
烟台影视,烟台影视,烟台影视,待标准化,济南电信单播,未排序,否
延边卫视,延边卫视,延边卫视,待标准化,济南电信单播,未排序,否
兖州新闻,兖州新闻,兖州新闻,待标准化,济南电信单播,未排序,否
央广购物,央广购物,央广购物,待标准化,济南电信单播,未排序,否
阳信综合,阳信综合,阳信综合,待标准化,济南电信单播,未排序,否
沂水生活,沂水生活,沂水生活,待标准化,济南电信单播,未排序,否
沂水综合,沂水综合,沂水综合,待标准化,济南电信单播,未排序,否
沂源综合,沂源综合,沂源综合,待标准化,济南电信单播,未排序,否
优漫卡通,优漫卡通,优漫卡通,待标准化,济南电信单播,未排序,否
优优宝贝,优优宝贝,优优宝贝,待标准化,济南电信单播,未排序,否
鱼台生活,鱼台生活,鱼台生活,待标准化,济南电信单播,未排序,否
鱼台新闻,鱼台新闻,鱼台新闻,待标准化,济南电信单播,未排序,否
禹城综合,禹城综合,禹城综合,待标准化,济南电信单播,未排序,否
禹城综艺,禹城综艺,禹城综艺,待标准化,济南电信单播,未排序,否
郓城综合,郓城综合,郓城综合,待标准化,济南电信单播,未排序,否
沾化综合,沾化综合,沾化综合,待标准化,济南电信单播,未排序,否
张店综合,张店综合,张店综合,待标准化,济南电信单播,未排序,否
章丘综合,章丘综合,章丘综合,待标准化,济南电信单播,未排序,否
长岛综合,长岛综合,长岛综合,待标准化,济南电信单播,未排序,否
长清综合,长清综合,长清综合,待标准化,济南电信单播,未排序,否
招远综合,招远综合,招远综合,待标准化,济南电信单播,未排序,否
中国交通,中国交通,中国交通,待标准化,济南电信单播,未排序,否
中华特产,中华特产,中华特产,待标准化,济南电信单播,未排序,否
中央新影 中学生,中央新影 中学生,中央新影 中学生,待标准化,济南电信单播,未排序,否
重温经典影视,重温经典影视,重温经典影视,待标准化,济南电信单播,未排序,否
